user,text
ricardobarq,@LunarCRUSH @nimiq for sure! Working in super innovative tech and has the best #community in #crypto
CWM514,@LunarCRUSH #DGB $DGB
AmoreLoveAmor,@LunarCRUSH DigiByte https://t.co/4OxE2SMbl6
oucan_dvt,@LunarCRUSH $DVT 🔥😎 #ColdRewards
uribem001,@LunarCRUSH Easy... #Zilliqa
RReinier3,@LunarCRUSH Zilliqa!
ava_csc,@LunarCRUSH $CSC and $AVA Both CasinoCoin and Travala have amazing teams that deliver amazing technology to it's am… https://t.co/XOOdclXfbv
TOMO_MeKONG,@LunarCRUSH $TOMO #DeFi  P2P Lending +++ https://t.co/b9zR3A6AaY
jeffpisarek,@LunarCRUSH $ICX doing huge things. On both fronts. Love this project and community.
fredostat,@LunarCRUSH @vechainofficial $vet #vechain
ChainOligarch,@LunarCRUSH #Digibyte @DigiByteCoin $Digibyte #SleepingGiant
mass_adoption,@LunarCRUSH Easy answer. Undoubtedly #CasinoCoin. An absolute Rockstar team &amp; the most mature and genuine community… https://t.co/Tm7I9aryuy
bigfloater74,@LunarCRUSH $icx for sure!
wkwwwwk,@LunarCRUSH $ICX !!
Aravolp,@LunarCRUSH $Divi  https://t.co/Jg3wxH9bNW
MicorEkzema,@LunarCRUSH #vet #hbar #icx #ada #xrp  #0doubt
vednigam3,@LunarCRUSH #Zilliqa and i m not saying it u are telling us with facts and figures 💯💯🔥
JamesMRO1,@LunarCRUSH Daps Coin 💪 #daps 🤩
donifaciuk1,@LunarCRUSH #DAPScoin of course https://t.co/tiQxl81zoi
coinspotbot,"@LunarCRUSH DeFi tokens are delivering big time in 2020. $CHZ @Chiliz might not be the biggest community, but it is… https://t.co/1jtVoGVMZp"
icon_deutsch,@LunarCRUSH $icx pretty clear to me
TheCryptoZap,@LunarCRUSH $UBT @UnibrightIO 💯
Ll0ydV0id,@LunarCRUSH $NEX @nashsocial fits perfectly with that description 👀
JennyFr89312299,"@LunarCRUSH @ShareRingGlobal ($SHR) not only has a product used by normal people, without even knowing it, they hav… https://t.co/A0AlsGv2e9"
CryptoGrills,"@LunarCRUSH @ShareRingGlobal really stands out in this perspective, they have never stopped building.  All these lo… https://t.co/NbaeOF7KBq"
berman_kahar,@LunarCRUSH $SERO @SEROdotCASH
skullder_,"@LunarCRUSH Make no mistake, it’s  #VeChain"
sjakie46390779,"@LunarCRUSH @ShareRingGlobal it’s entire platform&amp;ecosystem has a wide range of valid usecases, products and servic… https://t.co/Ix4rOLPhgF"
CryptoKingNL,@LunarCRUSH $ICX #ICONPROJECT
